ID,DSC,ORDER,KM,CCW,CW,CCW_BRANCH,CW_BRANCH,CHENG_ZHUI_CCW,CHENG_ZHUI_CW,CCW_KM,CW_KM,CCW_BRANCH_KM,CW_BRANCH_KM,CHENG_ZHUI_CCW_KM,CHENG_ZHUI_CW_KM
0990,南港,0,0,1000,,,,,,9.202,0,,,,
1000,台北,1,9.202,1010,0990,,,,,7.216,9.202,,,,
1010,板橋,2,16.418,1020,1000,,,,,29.165,7.216,,,,
1020,桃園,3,45.583,1030,1010,,,,,29.894,29.165,,,,
1030,新竹,4,75.477,1035,1020,,,,,32.686,29.894,,,,
1035,苗栗,5,108.163,1040,1030,,,,,60.868,32.686,,,,
1040,台中,6,169.031,1043,1035,,,,,28.153,60.868,,,,
1043,彰化,7,197.184,1047,1040,,,,,24.594,28.153,,,,
1047,雲林,8,221.778,1050,1043,,,,,33.105,24.594,,,,
1050,嘉義,9,254.883,1060,1047,,,,,62.275,33.105,,,,
1060,台南,10,317.158,1070,1050,,,,,31.328,62.275,,,,
1070,左營,11,348.486,,1060,,,,,0,31.328,,,,